name,5_15_drySt-28F,1_11_drySt-28F,2_12_drySt-28F,3_13_drySt-28F,4_14_drySt-28F,7_22_drySt-28F,8_23_drySt-28F,9_24_drySt-28F
Roseburia::Clostridium,0,1,0,0,0,0,0,0
Sporobacterium,0,0,7,0,5,0,0,0
Eubacterium::Ruminococcus,0,0,0,0,0,0,0,0
Pseudobutyrivibrio,0,0,1,0,0,0,0,0
Robinsoniella,0,0,0,0,0,0,0,0
Brevibacterium,0,1,1,0,0,0,0,0
Blautia::Ruminococcus,1,0,0,0,0,0,1,0
Pseudomonas,0,5,1,3,0,0,0,0
Clostridium::Roseburia,0,0,0,0,0,0,0,0
Desulfotomaculum,0,1,1,1,0,0,0,5
Clostridium (Erysipelotrichaceae),0,0,0,0,1,0,0,1
Olsenella,0,0,1,0,0,0,0,1
Azospirillum,0,0,0,0,0,0,0,0
Oxobacter,0,0,0,0,0,0,0,0
Asaccharobacter::Adlercreutzia,0,0,0,0,0,0,0,0
Desulfocurvus,0,0,1,0,0,0,0,0
Anaerostipes,0,0,3,0,0,0,0,0
Clostridium::Ruminococcus::Desulfotomaculum::Escherichia,0,0,0,0,0,0,0,0
Halanaerobacter,0,1,1,0,0,0,2,0
Slackia,0,0,0,0,0,1,0,1
Anaplasma,0,0,0,0,0,0,0,0
Syntrophomonas,0,0,0,0,0,0,0,0
Clostridium::Blautia,0,0,0,0,0,0,0,0
Anaerosporobacter::Clostridium,0,0,0,0,0,0,0,0
Clostridium::Bacteroides,0,0,0,0,0,0,0,0
Blautia::Lactonifactor,0,0,0,0,0,0,0,0
Parabacteroides::Bacteroides,0,0,0,1,0,0,0,0
Enterorhabdus::Adlercreutzia,0,0,0,0,0,0,0,0
Flavobacterium,1,5,4,3,0,0,0,4
Clostridium::Desulfotomaculum,0,0,0,0,0,0,0,0
Parasporobacterium,2,0,0,0,0,0,0,0
Coprococcus::Clostridium,0,0,0,0,0,0,0,0
Fusobacterium,1,0,2,0,0,0,0,0
Ruminococcus::Escherichia,0,1,0,0,0,0,0,0
Clostridium::Ruminococcus::Coprococcus,0,0,0,0,0,0,0,0
Lactonifactor,0,0,0,0,0,0,0,0
Haemophilus,0,4,1,1,1,1,0,0
Sporichthya,0,2,0,0,0,0,1,0
Cytophaga::Flavobacterium,0,0,0,1,0,0,3,0
Clostridium::Dorea,0,0,0,0,0,0,0,0
Ruminococcus::Blautia,0,0,0,0,0,0,0,0
Frigoribacterium,0,0,0,1,0,0,0,0
Paenibacillus,0,0,2,1,0,0,8,0
Johnsonella,0,0,1,0,0,0,0,0
Pseudoflavonifractor::Clostridium,0,0,0,0,0,0,0,0
Adlercreutzia::Enterorhabdus::Asaccharobacter,0,0,0,0,0,0,0,0
Nocardiopsis,0,0,0,1,0,0,0,0
Pedobacter::Pseudomonas,0,0,0,0,0,0,0,0
Flexibacter,0,0,2,0,0,0,7,2
Catabacter::Ruminococcus,0,0,0,0,0,0,0,0
Butyricimonas::Bacteroides,0,0,0,1,0,0,0,0
Staphylococcus,0,2,2,1,0,0,0,0
Alkalitalea::Prevotella,0,0,0,0,0,0,0,0
Lachnospira::Anaerostipes,0,0,0,0,0,0,0,0
Flavobacterium::Cytophaga,0,0,0,0,0,0,1,0
Gelidibacter,2,1,3,5,1,1,1,0
Treponema,0,0,0,1,0,0,0,0
Pontibacter,0,0,0,0,0,0,0,0
Desulfuromonas,0,0,0,0,0,0,0,0
Butyricicoccus,0,0,0,0,0,0,0,0
Clostridium::Butyrivibrio,0,1,0,0,0,0,0,0
Coprobacillus::Clostridium,0,0,0,0,0,0,0,0
Porphyromonas::Prevotella,0,0,0,0,0,0,0,0
Effluviibacter,0,0,1,1,0,0,0,1
Caminicella,0,0,1,0,0,0,0,0
Prevotella::Bacteroides,0,0,0,0,0,0,0,0
Pseudoalteromonas,0,0,0,0,0,0,0,0
Butyrivibrio::Blautia,0,0,0,0,0,0,0,0
Lachnospira::Clostridium,0,0,0,0,0,0,0,2
Alicyclobacillus,0,0,0,0,0,0,0,0
Lachnospira::Robinsoniella,0,0,0,0,0,0,0,0
Subdoligranulum,0,0,0,0,0,0,0,0
Anaerofilum,0,0,0,0,0,0,0,0
Sporosarcina,0,0,0,0,0,0,0,0
Alkalitalea::Sphingobacterium,0,0,0,0,0,0,0,0
Kopriimonas,0,0,0,0,2,0,0,0
Olivibacter,0,0,0,0,0,0,0,0
Lachnobacterium::Coprococcus,0,0,0,0,0,0,0,0
Fluviicola,0,0,0,0,0,1,0,0
Peptococcus,0,0,0,0,0,0,0,0
Ruminococcus::Roseburia,0,0,0,0,0,0,0,0
Marinilabilia,0,0,0,0,0,0,0,0
Catonella,0,0,0,0,0,0,0,0
Sphingobium,0,0,1,0,0,0,0,0
Olsenella::Streptomyces,0,0,0,0,0,0,0,0
Terasakiella,0,0,0,0,0,0,0,0
Roseospirillum,0,7,0,0,0,3,0,2
Clostridium::Ruminococcus::Blautia,0,0,0,0,0,0,0,0
Lachnospira::Roseburia,0,0,0,0,0,0,0,0
Thalassospira,0,0,0,0,0,0,0,0
Eubacterium::Clostridium,0,0,1,0,0,0,0,0
Allobaculum::Eubacterium,0,0,0,0,0,0,0,0
Blautia::Lachnospira,0,0,0,0,0,0,0,0
Cryptobacterium,0,0,0,0,0,0,0,0
Atopobium,0,0,0,0,0,0,0,0
Eubacterium::Lachnospira,0,0,0,0,0,0,0,0
Bacteroides::Alistipes,0,0,0,0,0,0,0,0
Faecalibacterium,0,1,1,0,0,0,0,0
Lachnospira::Coprococcus,0,0,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0
Zhangella::Stella,0,0,0,0,1,0,0,0
Paludibacter,0,0,0,0,0,0,0,0
Butyrivibrio::Ruminococcus,0,0,0,0,0,0,0,0
Bacteroides::Lactobacillus,0,0,0,0,0,0,0,0
Prevotella::Flavobacterium,0,0,0,0,0,0,0,1
Ruminococcus::Dorea,0,0,0,0,0,0,0,0
Slackia::Asaccharobacter::Adlercreutzia,0,0,0,0,0,0,0,0
Caldicellulosiruptor,0,0,0,0,0,1,0,0
Kordia,0,0,0,0,0,0,0,0
Bacteroides::Lactobacillus::Lachnospira,0,1,0,0,0,0,0,0
Sphingobacterium,0,0,0,0,0,0,0,0
Anaeroplasma,0,2,0,0,0,0,0,0
Atopostipes,0,0,0,0,0,0,0,0
Enterococcus,0,0,0,0,0,0,0,0
Insolitispirillum,0,0,0,0,0,0,0,0
Clostridium::Acetivibrio,0,0,0,0,0,0,0,0
Plantactinospora,0,0,0,0,0,0,0,0
Stappia,0,0,0,0,0,0,0,0
Anaplasma::Clostridium,0,0,0,0,0,0,0,0
Clostridium (Erysipelotrichaceae)::Clostridium,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0
Dorea::Ruminococcus,0,0,0,0,0,0,0,0
Roseburia::Lachnospira,0,0,0,0,0,0,0,0
Rhizobium,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0
Echinicola,0,0,0,0,0,0,0,0
Anaerostipes::Clostridium,0,0,0,0,0,0,0,0
Lachnospira::Blautia,0,0,0,0,0,0,0,0
Aestuariimicrobium,0,0,0,0,0,0,0,0
Gelidibacter::Flavobacterium,0,0,0,0,0,0,0,0
Helicobacter::Flexispira,0,0,1,0,0,0,0,0
Eubacterium (Erysipelotrichaceae)::Paenibacillus::Eubacterium,0,0,0,0,0,0,0,0
Pelospora,0,0,0,0,0,0,0,0
Stella,0,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,0,0
Rickettsia,0,1,0,0,0,0,0,0
Porphyromonas::Flavobacterium,0,0,0,0,0,0,0,0
Adlercreutzia::Enterorhabdus,0,0,0,0,0,0,0,0
Ruminococcus::Escherichia::Parabacteroides,0,0,0,0,0,0,0,0
Limibacter::Bacteroides,0,0,0,0,0,0,0,0
Paraprevotella::Prevotella,0,0,0,0,0,0,0,0
Janthinobacterium::Zoogloea::Duganella,0,0,0,0,0,0,0,0
Flavobacterium::Gelidibacter,0,0,0,0,0,0,0,0
Barnesiella::Bacteroides,0,0,0,0,0,0,0,0
Porphyromonas::Gelidibacter,0,0,0,0,0,0,0,0
Bacilloplasma,0,0,0,0,0,0,0,0
Natronincola,0,0,0,0,0,0,0,0
Lumbricincola,0,0,0,0,0,0,0,0
Desulfotomaculum::Clostridium,0,0,0,0,0,0,0,0
Roseburia::Ruminococcus,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0
Streptacidiphilus,0,0,0,0,0,0,0,0
Butyrivibrio::Pseudobutyrivibrio,0,0,4,0,0,0,0,0
Aeromicrobium,0,0,0,0,0,0,0,0
Proteus,0,0,0,0,0,0,0,0
Sporobacterium::Clostridium,0,0,0,0,0,0,0,0
Butyrivibrio::Roseburia,0,0,0,0,0,0,0,0
Luteococcus,0,0,0,0,0,0,0,0
Clostridium::Blautia::Desulfotomaculum,0,0,1,0,0,0,0,0
Lachnospira::Ruminococcus,0,0,1,0,0,0,0,0
Ornithinimicrobium,0,0,0,0,0,0,0,0
Persicivirga,0,0,0,0,0,0,0,0
Lachnospira::Ruminococcus::Escherichia,0,0,0,0,0,0,0,0
Anaerophaga,0,0,0,0,0,1,0,0
Dysgonomonas::Flavobacterium,0,0,0,0,0,0,0,0
Bizionia,0,0,1,0,0,0,0,0
